welfare_regime,generation,gender,n
Conservative,Millennials,Female,1322
Conservative,Millennials,Male,1286
Conservative,Gen Z,Female,491
Conservative,Gen Z,Male,564
Mediterranean,Millennials,Female,950
Mediterranean,Millennials,Male,891
Mediterranean,Gen Z,Female,389
Mediterranean,Gen Z,Male,363
Post-Socialist,Millennials,Female,1523
Post-Socialist,Millennials,Male,1502
Post-Socialist,Gen Z,Female,640
Post-Socialist,Gen Z,Male,587
Social Democratic,Millennials,Female,489
Social Democratic,Millennials,Male,538
Social Democratic,Gen Z,Female,203
Social Democratic,Gen Z,Male,202
